(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
		SR_Veh_RalleyCar_Wheel_FR (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_FL (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_RR (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Yellow (1) (1041 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Bld_Tent_Small (3) (180 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_StreetLamp (4) (156 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Bld_Tent_Shop_Red (3) (304 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_FR (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_RR (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_LightBlue (1) (1041 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_FR (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_RL (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Blank (8) (4 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (21) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_StartingLine (154 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_FL (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_Barrier_03 (8) (90 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_RL (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_RR (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (13) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_FL (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Black (1) (1041 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_ForestTile_03 (6) (1364 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		Character_Pose_05 (532 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_DamagedConcrete (1) (392 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_Flag_String_02 (594 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (1) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_StreetLamp (1) (156 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Blank (19) (4 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (28) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_ForestTile_01 (5) (1056 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Black (1041 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		Character_Black_Pose_01 (772 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_RR (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		Character_LightGreen_Pose_05 (532 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_RL (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_TirePile_02 (720 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_FR (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_Barrier_03 (12) (90 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_FL (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		Character_LightBlue_Pose_02 (786 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		Character_Red_Pose_03 (632 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Blank (3) (4 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_StreetLamp (12) (156 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Blank (26) (4 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		Character_LightBlue_Pose_03 (632 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Blank (22) (4 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_RL (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_FR (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_FL (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_RR (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Bld_Tent_Shop_Red (2) (304 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_StreetLamp (17) (156 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (3) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		Character_LightGreen_Pose_01 (772 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_Barrier_03 (2) (90 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_SmashedCar_02 (966 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Lime (1041 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_Barrier_03 (3) (90 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_ForestTile_02 (2) (1291 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_StreetLamp (2) (156 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Blank (16) (4 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		Character_Pose_02 (786 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_FuelCart (1) (458 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (6) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_ForestTile_03 (4) (1364 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_CarryCart (294 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		Character_Black_Pose_04 (532 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Blank (12) (4 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_FuelCart (458 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_Trolley_Filled (572 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Blank (21) (4 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_CornerTight_01 (151 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Blank (10) (4 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_StreetLamp (5) (156 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (24) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (34) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_ForestTile_01 (1056 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_ForestTile_04 (3) (2300 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_RR (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_StreetLamp (8) (156 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_ForestTile_02 (4) (1291 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_FR (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_RL (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_FL (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Red (1041 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_Flag_02 (96 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (11) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_Barrier_03 (6) (90 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_ForestTile_04 (1) (2300 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (38) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (27) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_SmashedCar_01 (962 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (35) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_Barrier_03 (5) (90 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_StreetLamp (14) (156 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_ForestTile_03 (5) (1364 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_ForestTile_01 (2) (1056 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (23) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (32) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (16) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (22) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (17) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_SmashedCar_04 (966 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_Barrier_03 (11) (90 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_ForestTile_03 (1364 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		Character_LightGreen_Pose_02 (786 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_DamagedConcrete (392 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Blank (11) (4 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_StreetLamp (7) (156 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_StreetLamp (15) (156 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Blank (15) (4 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Blank (17) (4 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_StreetLamp (9) (156 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (2) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (7) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (31) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		Character_Red_Pose_04 (532 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (14) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (25) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (10) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (8) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_CornerTight_01 (1) (151 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_Camera (954 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_CornerTight_01 (2) (151 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Bld_Tent_Small (180 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Blank (29) (4 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_ForestTile_01 (3) (1056 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_ToolCart (1) (410 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Blank (4) (4 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_DamagedConcrete (2) (392 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (36) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_ForestTile_04 (4) (2300 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		Character_Red_Pose_01 (772 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (19) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Bld_Tent_Small (1) (180 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Bld_Tent_Shop_Red (1) (304 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Bld_Tent_Small (180 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_ForestTile_03 (1) (1364 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_RL (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_FR (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_FL (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_RR (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Yellow (1041 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		Character_LightBlue_Pose_01 (772 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Bld_Tent_Shop_Red (304 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_ForestTile_03 (3) (1364 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_ForestTile_02 (3) (1291 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_Flag_04 (96 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (18) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_Barrier_03 (13) (90 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Blank (27) (4 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_Barrier_03 (7) (90 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Blank (28) (4 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_TirePile_01 (737 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_TV_Cabinet (192 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_StreetLamp (19) (156 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Blank (9) (4 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Blank (7) (4 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_Trolley (368 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (9) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Blank (23) (4 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_ForestTile_03 (2) (1364 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		Character_Pose_01 (772 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Blank (18) (4 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_Barrier_03 (4) (90 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Blank (24) (4 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_Barrier_03 (90 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_StreetLamp (16) (156 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_FL (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_RL (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_RR (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_FR (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Purple (1041 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (29) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_ForestTile_04 (5) (2300 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_RL (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Bld_Tent_Small (2) (180 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_RR (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_FR (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Wheel_FL (84 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SA_Env_ForestTile_04 (2300 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Env_Dirt_Track_Raised (4) (62 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Veh_RalleyCar_Blue (1) (1041 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_Barrier_03 (10) (90 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
		SR_Prop_StreetLamp (11) (156 verts)	-1	False	False	False	1	[SimpleTown (UnityEngine.Material)] 	
